Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
Bacterial Conjunctivitis,Gentamicin,On Label,RX,13 Reviews,2.29,2.57,2.14,"
					This medication is used to treat bacterial infections (such as blepharitis, conjunctivitis) of the eye and the skin around the eyes (such as eyelids). This is a generic drug. The average cash price for 1 Bottle, 5ml of 0.3% each of the generic (gentamicin sulfate) is $22.99. You can buy gentamicin sulfate at the discounted price of $13.49 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Gentamicin,On Label,RX,13 Reviews,2.29,2.57,2.14,"
					This medication is used to treat bacterial infections (such as blepharitis, conjunctivitis) of the eye and the skin around the eyes (such as eyelids). This is a generic drug. The average cash price for 1 Bottle, 5ml of 0.3% each of the generic (gentamicin sulfate) is $22.99. You can buy gentamicin sulfate at the discounted price of $13.49 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,10 Reviews,3.20,4.40,2.80,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Bottle, 5ml of 0.3% each of the generic (ofloxacin) is $79.99. You can buy ofloxacin at the discounted price of $13.49 by using the WebMDRx coupon, a savings of 83%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,9 Reviews,4.33,4.33,3.33,"
					This medication is a quinolone antibiotic used for eye infections (such as conjunctivitis).This medication treats only bacterial eye infections. This is a generic drug. The average cash price for 1 Bottle, 2.5ml of 0.5% each of the generic (gatifloxacin) is $109.99. You can buy gatifloxacin at the discounted price of $55.76 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,8 Reviews,3.25,3.75,2.75,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,8 Reviews,3.25,3.75,2.75,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Bacitracin,Off Label,RX,8 Reviews,3.33,4.67,2.00,"
					This medication is an antibiotic used to treat certain bacterial eye infections. This is a generic drug. The average cash price for 1 Tube, 28.4gm of 500unit/gm each of the generic (bacitracin) is $11.99. You can buy bacitracin at the discounted price of $5.03 by using the WebMDRx coupon, a savings of 58%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,7 Reviews,2.00,4.50,4.50,"
					This medication is used to treat bacterial eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Bottle, 15ml of 10% each of the generic (sulfacetamide sodium) is $53.99. You can buy sulfacetamide sodium at the discounted price of $32.92 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,7 Reviews,2.00,4.50,4.50,"
					This medication is used to treat bacterial eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Bottle, 15ml of 10% each of the generic (sulfacetamide sodium) is $53.99. You can buy sulfacetamide sodium at the discounted price of $32.92 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,5 Reviews,3.67,3.00,3.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Tube, 3.5gm of 500-10000unit/gm each of the generic (bacitracin-polymyxin b) is $27.99. You can buy bacitracin-polymyxin b at the discounted price of $19.70 by using the WebMDRx coupon, a savings of 30%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,5 Reviews,3.50,5.00,3.50,"
					This medication is used to prevent or treat eye infections and to treat swelling in the eye. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 5ml of 10-0.2%  each, is $183.99. You can buy Blephamide at the discounted price of $157.89 by using the WebMDRx coupon, a savings of 14%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,4 Reviews,3.50,4.50,3.00,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,3 Reviews,1.00,4.00,1.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 3.5gm of 5-400-10000 each of the generic (neomycin-bacitracin zn-polymyx) is $47.99. You can buy neomycin-bacitracin zn-polymyx at the discounted price of $29.51 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,3 Reviews,1.00,2.00,1.00,"
					This medication is used to prevent or treat eye infections and to treat swelling in the eye. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 5ml of 10-0.2%  each, is $183.99. You can buy Blephamide at the discounted price of $157.89 by using the WebMDRx coupon, a savings of 14%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,2 Reviews,5.00,5.00,5.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Bottle, 10ml of 1.75-10000-.025 each of the generic (neomycin-polymyxin-gramicidin) is $59.74. You can buy neomycin-polymyxin-gramicidin at the discounted price of $57.02 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Azithromycin,On Label,RX,2 Reviews,3.00,4.00,2.00,"
					This medication is used to treat certain eye infections. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 2.5ml of 1%  each, is $266.99. You can buy AzaSite at the discounted price of $192.43 by using the WebMDRx coupon, a savings of 28%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1 Reviews,1.00,1.00,1.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Bottle, 10ml of 1.75-10000-.025 each of the generic (neomycin-polymyxin-gramicidin) is $59.74. You can buy neomycin-polymyxin-gramicidin at the discounted price of $57.02 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,5.00,5.00,5.00,"
					This medication is used to treat bacterial eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Bottle, 15ml of 10% each of the generic (sulfacetamide sodium) is $53.99. You can buy sulfacetamide sodium at the discounted price of $32.92 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,1.00,1.00,1.00,"
					This medication is used to treat bacterial eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Bottle, 15ml of 10% each of the generic (sulfacetamide sodium) is $53.99. You can buy sulfacetamide sodium at the discounted price of $32.92 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,1.00,1.00,1.00,"
					This medication is used to treat bacterial eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Bottle, 15ml of 10% each of the generic (sulfacetamide sodium) is $53.99. You can buy sulfacetamide sodium at the discounted price of $32.92 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,1 Reviews,4.00,5.00,5.00,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1 Reviews,4.00,3.00,3.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Tube, 3.5gm of 500-10000unit/gm each of the generic (bacitracin-polymyxin b) is $27.99. You can buy bacitracin-polymyxin b at the discounted price of $19.70 by using the WebMDRx coupon, a savings of 30%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Erythromycin,Off Label,RX,1 Reviews,5.00,5.00,5.00,"
					This medication is used to treat certain eye infections (such as conjunctivitis). This is a generic drug. The average cash price for 1 Tube, 3.5gm of 5mg/gm each of the generic (erythromycin) is $21.49. You can buy erythromycin at the discounted price of $10.05 by using the WebMDRx coupon, a savings of 53%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,1 Reviews,1.00,4.00,1.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Bottle, 5ml of 0.3% each of the generic (ofloxacin) is $79.99. You can buy ofloxacin at the discounted price of $13.49 by using the WebMDRx coupon, a savings of 83%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1 Reviews,1.00,1.00,1.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Tube, 3.5gm of 500-10000unit/gm each of the generic (bacitracin-polymyxin b) is $27.99. You can buy bacitracin-polymyxin b at the discounted price of $19.70 by using the WebMDRx coupon, a savings of 30%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1 Reviews,1.00,2.00,1.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 3.5gm of 5-400-10000 each of the generic (neomycin-bacitracin zn-polymyx) is $47.99. You can buy neomycin-bacitracin zn-polymyx at the discounted price of $29.51 by using the WebMDRx coupon, a savings of 39%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1 Reviews,1.00,5.00,1.00,"
					This medication is used to treat eye infections. This is a generic drug. The average cash price for 1 Bottle, 10ml of 1.75-10000-.025 each of the generic (neomycin-polymyxin-gramicidin) is $59.74. You can buy neomycin-polymyxin-gramicidin at the discounted price of $57.02 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,1 Reviews,4.00,5.00,4.00,"
					This medication is used to treat conditions involving swelling (inflammation) of the eyes and to treat or prevent bacterial eye infections. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 5ml of 0.3-1%  each, is $184.99. You can buy Pred-G at the discounted price of $157.89 by using the WebMDRx coupon, a savings of 15%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,1 Reviews,4.00,5.00,4.00,"
					This medication is used to treat conditions involving swelling (inflammation) of the eyes and to treat or prevent bacterial eye infections. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 5ml of 0.3-1%  each, is $184.99. You can buy Pred-G at the discounted price of $157.89 by using the WebMDRx coupon, a savings of 15%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,1 Reviews,5.00,2.00,5.00,"
					This medication is a quinolone antibiotic used for eye infections (such as conjunctivitis).This medication treats only bacterial eye infections. This is a generic drug. The average cash price for 1 Bottle, 2.5ml of 0.5% each of the generic (gatifloxacin) is $109.99. You can buy gatifloxacin at the discounted price of $55.76 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Conjunctivitis,Besifloxacin,On Label,RX,1 Reviews,3.00,5.00,3.00,"
					This medication is used to treat bacterial eye infections. This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 5ml of 0.6%  each, is $187.48. You can buy Besivance at the discounted price of $179.55 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,627 Reviews,3.06,3.18,2.12,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,627 Reviews,3.06,3.18,2.12,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,580 Reviews,3.03,2.88,2.16,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,573 Reviews,2.82,2.86,1.98,"
					This medication is an antibiotic used to treat bladder infections (acute cystitis). This is a generic drug. You can buy nitrofurantoin monohyd macro at the discounted price of $17.87 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,538 Reviews,3.59,3.78,2.75,"
					 This is a brand name drug and a generic may be available. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,538 Reviews,3.59,3.78,2.75,"
					 This is a brand name drug and a generic may be available. The average cash price for 14 Tablet(s), 500mg each of the generic (ciprofloxacin hcl) is $18.75. You can buy ciprofloxacin hcl at the discounted price of $8.51 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,466 Reviews,3.54,3.72,3.11,"
					Doxycycline is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Capsule(s), 100mg each of the generic (doxycycline hyclate) is $77.99. You can buy doxycycline hyclate at the discounted price of $38.27 by using the WebMDRx coupon, a savings of 51%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,466 Reviews,3.54,3.72,3.11,"
					Doxycycline is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Capsule(s), 100mg each of the generic (doxycycline hyclate) is $77.99. You can buy doxycycline hyclate at the discounted price of $38.27 by using the WebMDRx coupon, a savings of 51%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42,"
					Amoxicillin/clavulanic acid is a combination penicillin-type antibiotic used to treat a wide variety of bacterial infections. This is a generic drug. You can buy amoxicillin-pot clavulanate at the discounted price of $20.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68,"
					Levofloxacin is used to treat a variety of bacterial infections. This is a generic drug. The average cash price for 10 Tablet(s), 500mg each of the generic (levofloxacin) is $172.99. You can buy levofloxacin at the discounted price of $47.08 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,348 Reviews,2.93,3.47,2.24,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 28 Capsule(s), 500mg each of the generic (cephalexin) is $13.82. You can buy cephalexin at the discounted price of $4.06 by using the WebMDRx coupon, a savings of 71%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,285 Reviews,2.36,3.35,1.85,"
					Cefdinir is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Capsule(s), 300mg  each, is $85.99. You can buy cefdinir at the discounted price of $49.38 by using the WebMDRx coupon, a savings of 43%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,285 Reviews,2.36,3.35,1.85,"
					Cefdinir is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Capsule(s), 300mg  each, is $85.99. You can buy cefdinir at the discounted price of $49.38 by using the WebMDRx coupon, a savings of 43%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,257 Reviews,2.85,3.14,2.18,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 28 Capsule(s), 500mg each of the generic (cephalexin) is $13.82. You can buy cephalexin at the discounted price of $4.06 by using the WebMDRx coupon, a savings of 71%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,256 Reviews,2.95,3.20,2.14,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,239 Reviews,3.19,3.25,2.28,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,239 Reviews,3.19,3.25,2.28,"
					This medication is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 800-160mg each of the generic (sulfamethoxazole-trimethoprim) is $15.99. You can buy sulfamethoxazole-trimethoprim at the discounted price of $8.15 by using the WebMDRx coupon, a savings of 49%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,226 Reviews,2.51,2.57,1.80,"
					This medication is used to treat or prevent certain urinary tract infections.This medication is an antibiotic that works by stopping the growth of bacteria. This is a generic drug. The average cash price for 1 Bottle, 230ml of 25mg/5ml each of the generic (nitrofurantoin) is $878.99. You can buy nitrofurantoin at the discounted price of $260.08 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,226 Reviews,2.51,2.57,1.80,"
					This medication is used to treat or prevent certain urinary tract infections.This medication is an antibiotic that works by stopping the growth of bacteria. This is a generic drug. The average cash price for 1 Bottle, 230ml of 25mg/5ml each of the generic (nitrofurantoin) is $878.99. You can buy nitrofurantoin at the discounted price of $260.08 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Doxycycline Calcium,On Label,RX,204 Reviews,3.47,3.27,2.92,"
					Doxycycline is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Capsule(s), 100mg each of the generic (doxycycline hyclate) is $77.99. You can buy doxycycline hyclate at the discounted price of $38.27 by using the WebMDRx coupon, a savings of 51%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,203 Reviews,3.07,3.65,2.38,"
					Minocycline is used to treat a wide variety of infections. This is a generic drug. The average cash price for 30 Capsule(s), 100mg each of the generic (minocycline hcl) is $40.10. You can buy minocycline hcl at the discounted price of $39.99 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,203 Reviews,3.07,3.65,2.38,"
					Minocycline is used to treat a wide variety of infections. This is a generic drug. The average cash price for 30 Capsule(s), 100mg each of the generic (minocycline hcl) is $40.10. You can buy minocycline hcl at the discounted price of $39.99 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,156 Reviews,3.15,3.06,2.33,"
					Cefuroxime is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 20 Tablet(s), 500mg each of the generic (cefuroxime axetil) is $86.99. You can buy cefuroxime axetil at the discounted price of $86.53 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
